0	0		Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?	none	none	none
0	1	moderately priced swedish food	What kind of food would you like?	none	swedish	moderate
0	2	how about asian oriental	Sorry there is no swedish restaurant in the moderate price range	none	asian oriental	moderate
0	3	is there anything else	yippee noodle bar is a great restaurant serving asian oriental food and it is in the moderate price range	none	asian oriental	moderate
0	4	could i have the address and phone number	Can I help you with anything else?	none	asian oriental	moderate
0	5	phone number	Sure , yippee noodle bar is on 40428 King Street City Centre	none	asian oriental	moderate
0	6	thank you good bye	The phone number of yippee noodle bar is 01223 518111 .	none	asian oriental	moderate
1	0	and that well	Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?	none	none	none
1	1	centre	What part of town do you have in mind?	centre	none	none
1	2	can one	What kind of food would you like?	centre	catalan	none
1	3	can that one	What kind of food would you like?	centre	catalan	none
1	4	ok don't in	What kind of food would you like?	centre	italian	none
1	5	moderate	Would you like something in the cheap , moderate , or expensive price range?	centre	italian	moderate
1	6	is there anything else	yippee noodle bar is a nice place in the centre of town and the prices are moderate	centre	italian	moderate
1	7	can i get the phone number and	cotto is a nice place in the centre of town and the prices are moderate	centre	italian	moderate
1	8	price range	The phone number of cotto is 01223 302010 .	centre	italian	moderate
1	9	can i get the phone number and price range	cotto is in the moderate price range	centre	italian	moderate
1	10	thank you good bye	The phone number of cotto is 01223 302010 .	centre	italian	moderate
2	0	that's ok	Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?	none	none	none
2	1	cheap part	What part of town do you have in mind?	dontcare	none	none
2	2	i don't care about the price range	Let me confirm , You are looking for a restaurant in the cheap price range right?	dontcare	none	dontcare
2	3	uh world food	What part of town do you have in mind?	dontcare	world	dontcare
2	4	how about mediterranean food	I'm sorry but there is no restaurant serving world food	dontcare	mediterranean	dontcare
2	5	mediterranean food	Sorry would you like world or mediterranean food?	dontcare	mediterranean	dontcare
2	6	is there anything else	the gardenia serves mediterranean food	dontcare	mediterranean	dontcare
2	7	can i have the address	shiraz restaurant serves mediterranean food	dontcare	mediterranean	dontcare
2	8	thank you good bye	Sure , shiraz restaurant is on 84 Regent Street City Centre	dontcare	mediterranean	dontcare
3	0		Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?	none	none	none
3	1	west part of town	What part of town do you have in mind?	west	none	none
3	2	cheap	Would you like something in the cheap , moderate , or expensive price range?	west	none	cheap
3	3	do you have another option anything else	la margherita is a nice restaurant in the west of town in the cheap price range	west	none	cheap
3	4	can i have the phone number	thanh binh is a nice restaurant in the west of town in the cheap price range	west	none	cheap
3	5	thank you good bye	The phone number of thanh binh is 01223 362456 .	west	none	cheap
4	0		Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?	none	none	none
4	1	east	What part of town do you have in mind?	east	none	none
4	2	expensive	What kind of food would you like?	east	none	expensive
4	3	any type	What kind of food would you like?	east	dontcare	expensive
4	4	is there anything else	yu garden is a nice place in the east of town and the prices are expensive	east	dontcare	expensive
4	5	can i have the phone number and the type of food	sitar tandoori is a nice place in the east of town and the prices are expensive	east	dontcare	expensive
4	6	type of food	The phone number of sitar tandoori is 01223 249955 .	east	dontcare	expensive
4	7	thank you goodbye	sitar tandoori serves indian food	east	dontcare	expensive
5	0	oh well	Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?	none	none	none
5	1	the centre of town	What part of town do you have in mind?	centre	none	none
5	2	spanish	What kind of food would you like?	centre	spanish	none
5	3	it doesn't matter	Would you like something in the cheap , moderate , or expensive price range?	centre	spanish	dontcare
5	4	is there anything else	la raza is a nice place in the centre of town serving tasty spanish food	centre	spanish	dontcare
5	5	could you give me the address phone number and post code	la tasca is a nice place in the centre of town serving tasty spanish food	centre	spanish	dontcare
5	6	thank you good bye	The phone number of la tasca is 01223 464630 and it is on 14 -16 Bridge Street .	centre	spanish	dontcare
6	0	a restaurant in the south part of town that serves mexican food	Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?	south	mexican	none
6	1	what's the address and phone number and price range	chiquito restaurant bar is a nice restaurant in the south of town serving mexican food	south	mexican	none
